epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2073.4,1.53474,0.91367,1.34659,0.94503,0.9685,0.95388,0.39816,1.94904,0.79754,1.75527,0.0008318,0.0008318,0.0008318
61,2106.66,1.74283,0.87749,1.53344,0.94528,0.9685,0.96178,0.39802,1.91812,0.80683,1.73539,0.000812,0.000812,0.000812
62,2140.17,1.7078,0.91645,1.49848,0.93307,0.96063,0.94357,0.39457,1.90345,0.84711,1.71862,0.0007922,0.0007922,0.0007922
63,2173.89,1.67034,0.87065,1.42981,0.94377,0.98425,0.96515,0.38813,1.95848,0.81231,1.74995,0.0007724,0.0007724,0.0007724
64,2207.25,1.64741,0.86582,1.4099,0.93838,0.95922,0.94796,0.38397,1.9646,0.83012,1.75151,0.0007526,0.0007526,0.0007526
65,2240.53,1.64044,0.87308,1.43359,0.9016,0.95276,0.92573,0.36834,2.01702,0.83246,1.79565,0.0007328,0.0007328,0.0007328
66,2273.83,1.76869,0.8872,1.5245,0.94874,0.9685,0.95585,0.3921,2.03114,0.81125,1.82107,0.000713,0.000713,0.000713
67,2307.11,1.64463,0.88522,1.41254,0.96092,0.96818,0.9595,0.40067,1.93577,0.78352,1.70034,0.0006932,0.0006932,0.0006932
68,2340.4,1.64011,0.84265,1.4105,0.94927,0.95276,0.94948,0.38384,1.98981,0.79571,1.69631,0.0006734,0.0006734,0.0006734
69,2374.9,1.60394,0.83289,1.41614,0.94451,0.96063,0.94504,0.39086,1.95944,0.78563,1.71385,0.0006536,0.0006536,0.0006536
70,2408.58,1.59228,0.79236,1.36975,0.95048,0.96063,0.94925,0.38062,1.98194,0.78949,1.76814,0.0006338,0.0006338,0.0006338
71,2441.93,1.64649,0.83347,1.39737,0.94556,0.95739,0.94405,0.37216,2.01431,0.7709,1.82207,0.000614,0.000614,0.000614
72,2475.4,1.59518,0.83778,1.39973,0.94551,0.96063,0.93714,0.36659,2.03072,0.77998,1.80392,0.0005942,0.0005942,0.0005942
73,2508.79,1.59814,0.82845,1.3978,0.95237,0.9685,0.94809,0.369,2.00475,0.79373,1.79782,0.0005744,0.0005744,0.0005744
74,2542.22,1.55647,0.81296,1.37597,0.96088,0.96698,0.94642,0.37021,1.99517,0.78344,1.78224,0.0005546,0.0005546,0.0005546
75,2575.62,1.62422,0.80763,1.40101,0.94997,0.96063,0.93664,0.36144,2.01041,0.77219,1.80353,0.0005348,0.0005348,0.0005348
76,2609.01,1.58741,0.82549,1.36892,0.952,0.96063,0.9408,0.36777,2.02176,0.76984,1.82285,0.000515,0.000515,0.000515
77,2642.49,1.56689,0.80005,1.36653,0.9608,0.96508,0.93992,0.36823,2.01375,0.76867,1.81069,0.0004952,0.0004952,0.0004952
78,2675.91,1.50547,0.80059,1.36838,0.95174,0.96063,0.93968,0.37447,2.00894,0.77027,1.82543,0.0004754,0.0004754,0.0004754
79,2709.33,1.51647,0.777,1.34718,0.95292,0.96063,0.94793,0.36929,1.98761,0.75102,1.81329,0.0004556,0.0004556,0.0004556
80,2742.63,1.55829,0.77393,1.40696,0.94315,0.95276,0.92998,0.37234,1.96001,0.74085,1.79874,0.0004358,0.0004358,0.0004358
81,2776.1,1.54338,0.78521,1.34888,0.95126,0.96063,0.93466,0.3731,1.97866,0.76376,1.80262,0.000416,0.000416,0.000416
82,2809.45,1.59136,0.79272,1.38829,0.95526,0.96063,0.94002,0.36562,2.00697,0.76373,1.82526,0.0003962,0.0003962,0.0003962
83,2843.43,1.53745,0.77654,1.39686,0.93489,0.96063,0.92209,0.36185,2.01128,0.77097,1.81607,0.0003764,0.0003764,0.0003764
84,2891.59,1.57832,0.77383,1.39109,0.9311,0.96063,0.92196,0.36063,2.03179,0.75688,1.84778,0.0003566,0.0003566,0.0003566
85,2931.82,1.59258,0.80141,1.36926,0.94221,0.96063,0.92309,0.36184,2.04033,0.74959,1.85122,0.0003368,0.0003368,0.0003368
86,2961.93,1.50276,0.79129,1.36086,0.95189,0.96063,0.92826,0.36886,2.03368,0.73644,1.84931,0.000317,0.000317,0.000317
87,2992.15,1.56042,0.79348,1.3801,0.95809,0.96063,0.95226,0.37175,2.03263,0.74388,1.8477,0.0002972,0.0002972,0.0002972
88,3022.95,1.46855,0.75107,1.34018,0.95224,0.9685,0.94294,0.36893,2.00034,0.74491,1.83365,0.0002774,0.0002774,0.0002774
89,3054.68,1.48992,0.74834,1.34283,0.95326,0.96349,0.94396,0.36682,2.00206,0.74302,1.84033,0.0002576,0.0002576,0.0002576
90,3087.08,1.51305,0.73441,1.37162,0.94994,0.96063,0.94558,0.36937,2.0123,0.74137,1.83397,0.0002378,0.0002378,0.0002378
91,3119.66,1.47915,0.68415,1.37117,0.9527,0.9685,0.94172,0.36624,2.02234,0.73646,1.83997,0.000218,0.000218,0.000218
92,3152.36,1.40705,0.63452,1.34485,0.95447,0.9685,0.94027,0.37728,2.01875,0.71654,1.85698,0.0001982,0.0001982,0.0001982
93,3185.59,1.39343,0.6137,1.37553,0.94673,0.96063,0.94165,0.36929,1.99554,0.7153,1.84727,0.0001784,0.0001784,0.0001784
94,3218.48,1.42257,0.62082,1.35986,0.95154,0.96063,0.93803,0.36076,2.02029,0.71482,1.86984,0.0001586,0.0001586,0.0001586
95,3251.67,1.3808,0.61082,1.3601,0.95145,0.96063,0.93985,0.36015,2.03721,0.73242,1.87847,0.0001388,0.0001388,0.0001388
96,3287.44,1.36778,0.61167,1.31969,0.95164,0.96063,0.94006,0.35608,2.05279,0.73399,1.88653,0.000119,0.000119,0.000119
97,3320.12,1.37745,0.63028,1.32542,0.95146,0.96063,0.93888,0.35465,2.04864,0.73501,1.88828,9.92e-05,9.92e-05,9.92e-05
98,3352.97,1.35837,0.61464,1.31649,0.951,0.96063,0.93705,0.36046,2.04087,0.72925,1.88776,7.94e-05,7.94e-05,7.94e-05
99,3385.76,1.38401,0.62229,1.33847,0.95095,0.96063,0.94144,0.35508,2.03637,0.72619,1.88746,5.96e-05,5.96e-05,5.96e-05
100,3418.8,1.33966,0.63109,1.32091,0.95106,0.96063,0.94146,0.35484,2.04662,0.72856,1.89842,3.98e-05,3.98e-05,3.98e-05
